RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
17999,0.2999833333333333,0.0,8.52992
18049,0.3008166666666667,0.0,12.150869
18099,0.30165,0.0,27.186687
18149,0.3024833333333333,0.0,42.695934
18199,0.3033166666666667,0.0,32.709206
18249,0.30415,0.0,13.730816
18299,0.30498333333333333,0.0,25.348694
18349,0.3058166666666667,0.0,4.085248
18399,0.30665,0.0,0.0
18449,0.30748333333333333,0.0,0.0
18499,0.3083166666666667,0.0,52.23458
18549,0.30915,0.0,67.86807
18599,0.30998333333333333,0.0,49.388374
18649,0.3108166666666667,0.0,23.721643
18699,0.31165,0.0,11.695616
18749,0.31248333333333334,0.0,22.806955
18799,0.3133166666666667,0.0,29.033728
18849,0.31415,0.0,50.003372
18899,0.31498333333333334,0.0,54.679977
18949,0.3158166666666667,0.0,66.09792
18999,0.31665,0.0,88.55501
19049,0.31748333333333334,0.0,105.83245
19099,0.3183166666666667,0.0,92.93457
19149,0.31915,0.0,53.00386
19199,0.31998333333333334,0.0,31.679573
19249,0.3208166666666667,0.0,25.772203
19299,0.32165,0.0,53.443073
19349,0.32248333333333334,0.0,68.97664
19399,0.32331666666666664,0.0,92.43597
19449,0.32415,0.0,95.85664
19499,0.32498333333333335,0.0,95.74699
19549,0.32581666666666664,0.0,121.323006
19599,0.32665,0.0,132.17613
19649,0.32748333333333335,0.0,154.35818
19699,0.32831666666666665,0.0,136.30148
19749,0.32915,0.0,94.2237
19799,0.32998333333333335,0.0,34.864044
19849,0.33081666666666665,0.0,0.0
19899,0.33165,0.0,6.886485
19949,0.33248333333333335,0.0,2.8479147
19999,0.33331666666666665,0.0,0.0
20049,0.33415,0.0,0.0
20099,0.33498333333333336,0.0,21.348864
20149,0.33581666666666665,0.0,78.998695
20199,0.33665,0.0,103.45506
20249,0.33748333333333336,0.0,69.93596
20299,0.33831666666666665,0.0,45.612373
20349,0.33915,0.0,17.519615
20399,0.33998333333333336,0.0,37.16275
20449,0.34081666666666666,0.0,64.928
20499,0.34165,0.0,48.672173
20549,0.3424833333333333,0.0,40.455338
20599,0.34331666666666666,0.0,0.0
20649,0.34415,0.0,0.0
20699,0.3449833333333333,0.0,0.0
20749,0.34581666666666666,0.0,0.0
20799,0.34665,0.0,21.34528
20849,0.3474833333333333,0.0,0.0
20899,0.34831666666666666,0.0,18.656939
20949,0.34915,0.0,66.4041
20999,0.3499833333333333,0.0,109.706665
21049,0.35081666666666667,0.0,103.909805
21099,0.35165,0.0,71.75279
21149,0.3524833333333333,0.0,94.96986
21199,0.35331666666666667,0.0,115.45352
21249,0.35415,0.0,90.78545
21299,0.3549833333333333,0.0,86.93095
21349,0.35581666666666667,0.0,109.03168
21399,0.35665,0.0,118.15731
21449,0.3574833333333333,0.0,73.6797
21499,0.35831666666666667,0.0,53.17393
21549,0.35915,0.0,87.94078
21599,0.3599833333333333,0.0,59.49551
21649,0.3608166666666667,0.0,14.497536
21699,0.36165,0.0,10.14912
21749,0.3624833333333333,0.0,77.1491
21799,0.3633166666666667,0.0,102.19136
21849,0.36415,0.0,75.06663
21899,0.3649833333333333,0.0,49.748993
21949,0.3658166666666667,0.0,78.986664
21999,0.36665,0.0,116.91981
22049,0.36748333333333333,0.0,120.12535
22099,0.3683166666666667,0.0,97.369255
22149,0.36915,0.0,110.11865
22199,0.36998333333333333,0.0,138.28122
22249,0.3708166666666667,0.0,157.31242
22299,0.37165,0.0,161.70659
22349,0.37248333333333333,0.0,163.64229
22399,0.3733166666666667,0.0,150.26833
22449,0.37415,0.0,128.86511
22499,0.37498333333333334,0.0,140.09114
22549,0.3758166666666667,0.0,157.02954
22599,0.37665,0.0,147.39114
22649,0.37748333333333334,0.0,115.45447
22699,0.3783166666666667,0.0,97.58635
22749,0.37915,0.0,89.78142
